party,sexo,edad,N,n
ANR,F,18-29,1594,55.35
ANR,F,30-39,4957,141.25
ANR,F,40-49,3914,143.95
ANR,F,50-59,3062,67.85
ANR,F,60-69,2471,48.1
ANR,F,70+,1998,16.9
ANR,M,18-29,1485,44.3
ANR,M,30-39,5014,150.2
ANR,M,40-49,3678,125.35
ANR,M,50-59,3004,70.4
ANR,M,60-69,2451,54.8
ANR,M,70+,2049,25.7
ANR,U,18-29,256,9.1
ANR,U,30-39,637,20.65
ANR,U,40-49,382,14.95
ANR,U,50-59,244,10.3
ANR,U,60-69,186,6.4
ANR,U,70+,166,0.4
PLRA,F,18-29,516,24.8
PLRA,F,30-39,448,21.7
PLRA,F,40-49,352,15.7
PLRA,F,50-59,282,13.0
PLRA,F,60-69,200,6.15
PLRA,F,70+,209,5.3
PLRA,M,18-29,533,19.6
PLRA,M,30-39,417,15.0
PLRA,M,40-49,370,12.55
PLRA,M,50-59,287,7.25
PLRA,M,60-69,248,5.65
PLRA,M,70+,288,3.0
PLRA,U,18-29,73,3.15
PLRA,U,30-39,42,1.0
PLRA,U,40-49,39,0.0
PLRA,U,50-59,13,1.2
PLRA,U,60-69,21,1.0
PLRA,U,70+,26,0.0
ANR-PLRA,F,18-29,116,5.65
ANR-PLRA,F,30-39,889,32.7
ANR-PLRA,F,40-49,1325,41.5
ANR-PLRA,F,50-59,1265,37.0
ANR-PLRA,F,60-69,844,19.25
ANR-PLRA,F,70+,737,6.3
ANR-PLRA,M,18-29,112,3.55
ANR-PLRA,M,30-39,832,36.75
ANR-PLRA,M,40-49,1359,46.3
ANR-PLRA,M,50-59,1285,27.65
ANR-PLRA,M,60-69,888,13.0
ANR-PLRA,M,70+,724,4.15
ANR-PLRA,U,18-29,16,0.25
ANR-PLRA,U,30-39,108,7.05
ANR-PLRA,U,40-49,118,3.65
ANR-PLRA,U,50-59,85,3.25
ANR-PLRA,U,60-69,66,0.1
ANR-PLRA,U,70+,58,0.55
OTRO,F,18-29,89,2.35
OTRO,F,30-39,226,7.25
OTRO,F,40-49,275,3.55
OTRO,F,50-59,135,2.3
OTRO,F,60-69,98,1.1
OTRO,F,70+,87,0.3
OTRO,M,18-29,110,5.15
OTRO,M,30-39,228,5.25
OTRO,M,40-49,258,6.95
OTRO,M,50-59,117,5.05
OTRO,M,60-69,103,3.8
OTRO,M,70+,70,1.6
OTRO,U,18-29,20,1.0
OTRO,U,30-39,19,0.0
OTRO,U,40-49,20,1.0
OTRO,U,50-59,10,0.85
OTRO,U,60-69,5,0.0
OTRO,U,70+,13,0.05
SIN_AFILIACION,F,18-29,9042,153.0
SIN_AFILIACION,F,30-39,2182,38.55
SIN_AFILIACION,F,40-49,1807,27.9
SIN_AFILIACION,F,50-59,1166,17.4
SIN_AFILIACION,F,60-69,764,11.6
SIN_AFILIACION,F,70+,904,2.85
SIN_AFILIACION,M,18-29,9838,173.3
SIN_AFILIACION,M,30-39,2220,43.9
SIN_AFILIACION,M,40-49,1555,32.0
SIN_AFILIACION,M,50-59,988,14.65
SIN_AFILIACION,M,60-69,546,8.6
SIN_AFILIACION,M,70+,734,7.0
SIN_AFILIACION,U,18-29,1921,17.65
SIN_AFILIACION,U,30-39,301,4.25
SIN_AFILIACION,U,40-49,187,3.15
SIN_AFILIACION,U,50-59,135,1.1
SIN_AFILIACION,U,60-69,73,1.1
SIN_AFILIACION,U,70+,112,0.5
