estimando,candidato,share,ic95_lo,ic95_hi
MRP_A,Cheba,0.5439553965153373,0.518907429538418,0.5692739100822717
MRP_A,Carlos Pereira,0.4560446034846627,0.4307260899177283,0.48109257046158205
MRP_B,Cheba,0.5484709732364601,0.5233435744840147,0.5735930175093832
MRP_B,Carlos Pereira,0.4515290267635399,0.4264069824906168,0.4766564255159853
MRP_B_flat,Cheba,0.546033621689879,0.5211066075506248,0.5711058834904392
MRP_B_flat,Carlos Pereira,0.453966378310121,0.4288941165095608,0.47889339244937523
MRP_B_steep,Cheba,0.5512851353597705,0.5254249512287249,0.5770706290516255
MRP_B_steep,Carlos Pereira,0.44871486464022947,0.42292937094837446,0.4745750487712751
crudo_declarado,Cheba,0.5262585034013605,,
crudo_declarado,Carlos Pereira,0.47374149659863946,,
solo_personas,Cheba,0.5285313376987839,,
solo_enlazados_crudo,Cheba,0.5567997764849532,,
