anio,tipo_eleccion,grupo_edad,padron,participacion,turnout_pct,participacion_share_pct,padron_share_pct
2001,municipales,18_29,12127,5073,41.83,24.55,29.22
2001,municipales,30_59,24581,13256,53.93,64.15,59.22
2001,municipales,60_plus,4798,2336,48.69,11.3,11.56
2003,generales,18_29,13726,7885,57.45,28.29,30.39
2003,generales,30_59,26142,17134,65.54,61.48,57.89
2003,generales,60_plus,5291,2852,53.9,10.23,11.72
2006,municipales,18_29,13467,5227,38.81,23.35,26.95
2006,municipales,30_59,29713,14348,48.29,64.08,59.46
2006,municipales,60_plus,6793,2815,41.44,12.57,13.59
2008,generales,18_29,13199,8571,64.94,24.61,25.73
2008,generales,30_59,30937,22012,71.15,63.19,60.31
2008,generales,60_plus,7160,4251,59.37,12.2,13.96
2010,municipales,18_29,11230,4918,43.79,19.94,21.38
2010,municipales,30_59,33191,16197,48.8,65.68,63.19
2010,municipales,60_plus,8105,3547,43.76,14.38,15.43
2011,generales,18_29,10377,1526,14.71,19.33,19.95
2011,generales,30_59,33405,5029,15.05,63.71,64.21
2011,generales,60_plus,8246,1339,16.24,16.96,15.85
2013,generales,18_29,17320,11906,68.74,27.53,28.07
2013,generales,30_59,35419,25742,72.68,59.53,57.4
2013,generales,60_plus,8966,5592,62.37,12.93,14.53
2015,municipales,18_29,22350,9907,44.33,27.41,31.28
2015,municipales,30_59,38495,21262,55.23,58.82,53.88
2015,municipales,60_plus,10605,4981,46.97,13.78,14.84
2018,generales,18_29,24982,12791,51.2,28.07,32.71
2018,generales,30_59,39793,26192,65.82,57.49,52.1
2018,generales,60_plus,11604,6580,56.7,14.44,15.19
2021,municipales,18_29,27207,13838,50.86,29.56,32.99
2021,municipales,30_59,41326,26173,63.33,55.9,50.11
2021,municipales,60_plus,13937,6807,48.84,14.54,16.9
2023,generales,18_29,28053,15270,54.43,29.11,33.26
2023,generales,30_59,41913,29048,69.31,55.38,49.7
2023,generales,60_plus,14369,8132,56.59,15.5,17.04
