nickname,canonicals
PAME,PAMELA
NATY,NATALIA|NATIVIDAD
NATI,NATALIA|NATIVIDAD
KIKE,ENRIQUE
QUIQUE,ENRIQUE
LUCHO,LUIS
LUCHI,LUIS|LUISA
LUCHA,LUISA
PEPE,JOSE
PEPA,JOSEFA|JOSEFINA
CHEPE,JOSE
BETO,ALBERTO|ROBERTO|HUMBERTO|NORBERTO|GILBERTO
TITO,ALBERTO|HECTOR|ROBERTO|MILCIADES
TOTO,ANTONIO|SALVADOR|HECTOR
COCO,JORGE|MARCOS|SOCORRO
TECHI,ESTHER|TERESA|MERCEDES
TERE,TERESA|TERESITA
TETE,TERESA
CHIQUI,MARIA
CACHO,CARLOS|OSCAR
CACHITO,CARLOS
PANCHO,FRANCISCO
PANCHA,FRANCISCA
PACO,FRANCISCO
CHECHO,SERGIO
CHENCHO,CRESENCIO|INOCENCIO
MARI,MARIA
MABEL,MABEL
MAJO,MARIA
MARIJO,MARIA
JUANCHO,JUAN
JUANCHA,JUANA
JUANI,JUAN|JUANA
JUANJO,JUAN
JOSEMA,JOSE
CHEMA,JOSE
NANDO,FERNANDO|HERNANDO
FER,FERNANDO|FERNANDA
FERCHO,FERNANDO
POLI,POLICARPO|HIPOLITO|APOLONIA
POLO,LEOPOLDO|HIPOLITO
LEO,LEONARDO|LEONCIO|LEOPOLDO|LEONA
NACHO,IGNACIO
NACHA,IGNACIA
TACHO,ANASTACIO|EUSTAQUIO
TANO,CAYETANO|GAETANO
VITO,VICTOR
VICKY,VICTORIA
VIKI,VICTORIA
VIKY,VICTORIA
TOÑO,ANTONIO
TONI,ANTONIO|ANTONIA
TONY,ANTONIO
ANTO,ANTONELLA|ANTONIA|ANTONIO
NELO,MANUEL|CORNELIO
NELA,MANUELA|CORNELIA
MANU,MANUEL|MANUELA|EMANUEL
LOLO,MANUEL|DOLORES
LOLA,DOLORES
LOLI,DOLORES|LOURDES
LULU,LOURDES|LUCIA|LUCILA
LULI,LOURDES|LUCIA|LUCIANA|LUZ
CHELO,MARCELO|CONSUELO
CHELA,GRACIELA|CONSUELO|MARCELA
MARCE,MARCELO|MARCELA
CHICHO,NARCISO
CHICHA,MERCEDES
MECHA,MERCEDES
MECHE,MERCEDES
MERCE,MERCEDES
CHARO,ROSARIO
CHARLY,CARLOS
CARLI,CARLOS
CARLITOS,CARLOS
KAKA,CARLOS
LITO,CARLOS|ANGEL|RAFAEL
NENE,IRENE|RUBEN
NENA,ELENA|MARIA
QUELO,EZEQUIEL
CHANO,FELICIANO|LUCIANO
TILO,OTILIO
TILA,OTILIA|MATILDE
TUCA,GERTRUDIS
YIYO,LUIS|SERGIO
YIYA,LUISA
PILI,PILAR
PILA,PILAR
MAGA,MAGDALENA|MARGARITA
MAGUI,MARGARITA|MAGDALENA
MARGA,MARGARITA
RITA,RITA|MARGARITA
TATA,ESTANISLAO
TATO,GERARDO|ESTANISLAO
YEYO,ELISEO|AURELIO
CHINO,JACINTO
CHINA,JACINTA
MINGO,DOMINGO
MINGA,DOMINGA
GLADIS,GLADYS
GORDI,MARIA
FLACO,FRANCISCO
GUILLE,GUILLERMO|GUILLERMINA
MEMO,GUILLERMO
WILLY,GUILLERMO|WILLIAM|WILFRIDO
WILLI,GUILLERMO|WILLIAM|WILFRIDO
FREDY,ALFREDO|FEDERICO|WILFRIDO
FREDDY,ALFREDO|FEDERICO|WILFRIDO
FEDE,FEDERICO
RIQUI,RICARDO|ENRIQUE
RICKY,RICARDO|ENRIQUE
RICHARD,RICARDO|RICHARD
RICHAR,RICARDO|RICHARD
RICHI,RICARDO|RICHARD
MOISE,MOISES
SANTI,SANTIAGO|SANTOS
YAGO,SANTIAGO
CHAGO,SANTIAGO
DIEGUI,DIEGO
SEBA,SEBASTIAN
SEBAS,SEBASTIAN
CHEBA,SEBASTIAN
TIANO,SEBASTIAN
NICO,NICOLAS|NICANOR
NIKI,NICOLAS|NICOLASA
COLA,NICOLAS
EDU,EDUARDO
LALO,EDUARDO|GONZALO
YAYO,EDUARDO
GONZA,GONZALO
RODRI,RODRIGO
RODO,RODOLFO
FITO,RODOLFO|ADOLFO
MATI,MATIAS
MATHI,MATIAS
AGUS,AGUSTIN|AGUSTINA
TINA,AGUSTINA|CRISTINA|VALENTINA|MARTINA
TINO,AGUSTIN|VALENTIN|CONSTANTINO|FAUSTINO
VALEN,VALENTIN|VALENTINA
VALE,VALERIA|VALENTINA
CRIS,CRISTIAN|CRISTINA|CRISTHIAN
CRISTI,CRISTINA|CRISTIAN
CECI,CECILIA
CHECHI,CECILIA|MERCEDES
KITY,CRISTINA
DANI,DANIEL|DANIELA
DANY,DANIEL|DANIELA
NELSO,NELSON
CHONA,ASUNCION|ENCARNACION
CHON,ASUNCION|CONCEPCION
CONCHI,CONCEPCION
SUSI,SUSANA
SUSY,SUSANA
SANDRI,SANDRA
ALE,ALEJANDRO|ALEJANDRA|ALEXANDER|ALEXIS
ALEX,ALEJANDRO|ALEXANDER|ALEXIS
JANO,ALEJANDRO
SASHA,ALEJANDRA
ADRI,ADRIANA|ADRIAN
GABI,GABRIEL|GABRIELA
GABY,GABRIEL|GABRIELA
BIEL,GABRIEL
RAFA,RAFAEL|RAFAELA
FELO,RAFAEL
MIGUE,MIGUEL
MICHEL,MIGUEL|MICHEL
MIKE,MIGUEL
ANGIE,ANGELA|ANGELICA|ANGELES
ANGY,ANGELA|ANGELICA
GELI,ANGELICA|EVANGELINA
EVA,EVA|EVANGELINA
EVI,EVA|EVELYN
EVE,EVELYN|EVA
LINA,CAROLINA|ADELINA|CATALINA|EVANGELINA
CARO,CAROLINA|CAROLA
CATA,CATALINA
KATY,CATALINA|KATHERINE
KATHYA,CATALINA|KATHERINE
KATHY,CATALINA|KATHERINE
ISA,ISABEL|ISABELINO
CHABELA,ISABEL
BELEN,BELEN
BELU,BELEN
